stage,level,curve,curveIndex,valid,edgeI,edgeI_v0,edgeI_v1,edgeJ,edgeJ_v0,edgeJ_v1,midDist,kernel,contribution
initial,0,curve_0,0,1,7,14,9,22,30,35,3.0000001192092896e-01,1.3717417854340933e+03,8.5733861589630891e+01
initial,0,curve_1,1,1,2,2,1,28,46,47,3.0000001192092896e-01,1.3717417854340933e+03,8.5733861589630848e+01
initial,0,curve_2,2,1,2,2,1,28,46,47,3.0000001192092896e-01,1.3717417854340933e+03,8.5733861589630848e+01
initial,0,curve_3,3,1,2,2,1,28,46,47,3.0000001192092896e-01,1.3717417854340933e+03,8.5733861589630848e+01
initial,0,curve_4,4,1,2,2,1,28,46,47,3.0000001192092896e-01,1.3717417854340933e+03,8.5733861589630848e+01
initial,0,curve_5,5,1,2,2,1,28,46,47,3.0000001192092896e-01,1.3717417854340933e+03,8.5733861589630848e+01
initial,0,curve_6,6,1,2,2,1,28,46,47,3.0000001192092896e-01,1.3717417854340933e+03,8.5733861589630848e+01
initial,0,curve_7,7,1,2,2,1,28,46,47,3.0000001192092896e-01,1.3717417854340933e+03,8.5733861589630848e+01
initial,0,curve_8,8,1,1,0,5,21,34,29,3.0000001192092896e-01,1.3717417854340933e+03,8.5733861589630834e+01
