stage,level,curve,curveIndex,valid,edgeI,edgeI_v0,edgeI_v1,edgeJ,edgeJ_v0,edgeJ_v1,midDist,kernel,contribution
final,0,curve_0,0,1,7,14,9,22,30,35,3.0000001192092896e-01,1.3717417854340933e+03,8.5733861589630891e+01
final,0,curve_1,1,1,3,3,2,27,40,45,3.1806346696633614e-01,7.8308594410659691e+02,4.9521015241259107e+01
final,0,curve_2,2,1,2,2,1,27,40,45,3.3153548293193302e-01,4.3375941118205685e+02,2.7351772093646037e+01
final,0,curve_3,3,1,2,2,1,26,45,46,3.4901966145417790e-01,3.5730692361329801e+02,2.2366325725116514e+01
final,0,curve_4,4,1,0,1,0,26,45,46,4.1087505519531037e-01,2.0759384518070573e+02,1.2977805018954079e+01
final,0,curve_5,5,1,3,3,2,31,48,49,3.4815509532783390e-01,3.5965668889888133e+02,2.2512879690897886e+01
final,0,curve_6,6,1,3,3,2,30,49,44,3.3421386498000738e-01,4.1545623205381247e+02,2.6197668541250561e+01
final,0,curve_7,7,1,2,2,1,30,49,44,3.1353461489995615e-01,8.5332054981945498e+02,5.3962302052360734e+01
final,0,curve_8,8,1,1,0,5,21,34,29,3.0000001192092896e-01,1.3717417854340933e+03,8.5733861589630834e+01
